Link,Title,Price,Image URL,Region,Labels,Actual Floor,Max Floor,Size,Rooms,Square Price
https://list.am/item/20593957,"2 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 41 ք.մ., նախավերջին հարկ",95000,,Շենգավիթ,Գործակալություն,11,12,41,2,2317.0731707317073
https://list.am/item/21065828,"2 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 35 քմ, 8/10 հարկ, բարձր առաստաղներ",82000,,Շենգավիթ,Գործակալություն,8,10,35,2,2342.8571428571427
https://list.am/item/20412749,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 35 ք.մ., բարձր առաստաղներ",82000,,Կենտրոն,Գործակալություն,14,14,35,1,2342.8571428571427
https://list.am/item/20015031,"1 սենյականոց բնակարան նորակառույց շենքում, Արգիշտի, 34 քմ, կոսմետիկ վերանորոգում",80000,,Կենտրոն,,14,14,34,1,2352.9411764705883
https://list.am/item/20677802,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտիի փողոցում, 34 քմ, բարձր առաստաղներ",80000,,Կենտրոն,Գործակալություն,14,14,34,1,2352.9411764705883
https://list.am/item/20826440,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 37 ք.մ., 4/14 հարկ, բարձր առաստաղներ",88000,,Կենտրոն,Գործակալություն,4,14,37,1,2378.3783783783783
https://list.am/item/20385342,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 37 ք.մ., 5/14 հարկ, բարձր առաստաղներ",88000,,Կենտրոն,Գործակալություն,5,14,37,1,2378.3783783783783
https://list.am/item/20676926,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 34 ք.մ., բարձր առաստաղներ",82000,,Կենտրոն,Գործակալություն,14,14,34,1,2411.764705882353
https://list.am/item/20352996,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 34 քմ, բարձր առաստաղներ",82000,,Կենտրոն,Գործակալություն,14,14,34,1,2411.764705882353
https://list.am/item/20729713,"1 սենյականոց բնակարան նորակառույց շենքում, Argishti, 36 ք.մ., 6/11 հարկ, բարձր առաստաղներ",87000,,Կենտրոն,Գործակալություն,6,11,36,1,2416.6666666666665
https://list.am/item/20657566,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 37 ք.մ., 9/14 հարկ, եվրովերանորոգված",90000,,Կենտրոն,Գործակալություն,9,14,37,1,2432.4324324324325
https://list.am/item/20673867,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 37 ք.մ., 9/14 հարկ, բարձր առաստաղներ",90000,,Կենտրոն,Գործակալություն,9,14,37,1,2432.4324324324325
https://list.am/item/19543621,"2 սենյականոց բնակարան նորակառույց շենքում Խորենացու փողոցում, 36 ք.մ., 4/8 հարկ, բարձր առաստաղներ",88000,,Կենտրոն,Գործակալություն,4,8,36,2,2444.4444444444443
https://list.am/item/20196671,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 35 ք.մ., բարձր առաստաղներ",86000,,Կենտրոն,Գործակալություն,14,14,35,1,2457.1428571428573
https://list.am/item/20931559,"1 սենյականոց բնակարան նորակառույց շենքում, Norashen District, 33 քմ, 6/12 հարկ, կապիտալ վերանորոգված",82000,,Աջափնյակ,,6,12,33,1,2484.848484848485
https://list.am/item/20538094,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 36 քմ, 5/14 հարկ, բարձր առաստաղներ",90000,,Կենտրոն,Գործակալություն,5,14,36,1,2500.0
https://list.am/item/20440006,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 36 քմ, 11/14 հարկ, բարձր առաստաղներ",90000,,Կենտրոն,Գործակալություն,11,14,36,1,2500.0
https://list.am/item/20448033,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 36 քմ, 4/15 հարկ, բարձր առաստաղներ",90000,,Կենտրոն,,4,15,36,1,2500.0
https://list.am/item/20016920,"2 սենյականոց բնակարան նորակառույց շենքում Խորենացու փողոցում, 36 ք.մ., 4/6 հարկ, բարձր առաստաղներ",90000,,Կենտրոն,Գործակալություն,4,6,36,2,2500.0
https://list.am/item/20581130,"1 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 31 ք.մ., նախավերջին հարկ",85000,,Շենգավիթ,,12,13,31,1,2741.935483870968
https://list.am/item/20593419,"1 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 31 քմ, նախավերջին հարկ",85000,,Շենգավիթ,Գործակալություն,12,13,31,1,2741.935483870968
https://list.am/item/20988794,"2 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 29 քմ, 9/13 հարկ, կապիտալ վերանորոգված",90000,,Շենգավիթ,Գործակալություն,9,13,29,2,3103.448275862069
https://list.am/item/20983972,"1 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 29 քմ, նախավերջին հարկ",90000,,Շենգավիթ,,9,10,29,1,3103.448275862069
